Distância,Pace Alvo Iniciante,Pace Alvo Intermediário,Pace Alvo Avançado,,Planilhas para Frequencia de Treino 1x (Semana),,,,
1 km,7:00 min/km,5:00 min/km,4:00 min/km,,Planilhas 1x,Nível,Distancia Alvo,Pace Alvo,Tempo/Duração
3 km,7:30 min/km,5:15 min/km,4:15 min/km,,1,Iniciante,1 km,7:00 min/km,
5 km,8:00 min/km,5:30 min/km,4:30 min/km,,2,Iniciante,3 km,7:30 min/km,
7 km,-,6:00 min/km,4:40 min/km,,3,Iniciante,5 km,8:00 min/km,
10 km,-,6:30 min/km,4:45 min/km,,4,Intermediário,1 km,5:00 min/km,
15 km,-,-,4:55 min/km,,5,Intermediário,3 km,5:15 min/km,
21 km,-,-,5:00 min/km,,6,Intermediário,5 km,5:30 min/km,
,,,,,7,Intermediário,7 km,6:00 min/km,
,,,,,8,Intermediário,10 km,6:30 min/km,
,,,,,9,Avançado,1 km,4:00 min/km,
,,,,,10,Avançado,3 km,4:15 min/km,
,,,,,11,Avançado,5 km,4:30 min/km,
,,,,,12,Avançado,7 km,4:40 min/km,
,,,,,13,Avançado,10 km,4:45 min/km,
,,,,,14,Avançado,15 km,4:55 min/km,
,,,,,15,Avançado,21 km,5:00 min/km,
,,,,,,,,,
,,,,,Planilhas para Frequencia de Treino 2x (Semana),,,,
,,,,,Planilhas 2x,Nível,Distancia Alvo,Pace Alvo,Tempo
,,,,,16,Iniciante,1 km,7:00 min/km,
,,,,,17,Iniciante,3 km,7:30 min/km,
,,,,,18,Iniciante,5 km,8:00 min/km,
,,,,,19,Intermediário,1 km,5:00 min/km,
,,,,,20,Intermediário,3 km,5:15 min/km,
,,,,,21,Intermediário,5 km,5:30 min/km,
,,,,,22,Intermediário,7 km,6:00 min/km,
,,,,,23,Intermediário,10 km,6:30 min/km,
,,,,,24,Avançado,1 km,4:00 min/km,
,,,,,25,Avançado,3 km,4:15 min/km,
,,,,,26,Avançado,5 km,4:30 min/km,
,,,,,27,Avançado,7 km,4:40 min/km,
,,,,,28,Avançado,10 km,4:45 min/km,
,,,,,29,Avançado,15 km,4:55 min/km,
,,,,,30,Avançado,21 km,5:00 min/km,
,,,,,,,,,
,,,,,Planilhas para Frequencia de Treino 3x (Semana),,,,
,,,,,Planilhas 3x,Nível,Distancia Alvo,Pace Alvo,Tempo
,,,,,31,Iniciante,1 km,7:00 min/km,
,,,,,32,Iniciante,3 km,7:30 min/km,
,,,,,33,Iniciante,5 km,8:00 min/km,
,,,,,34,Intermediário,1 km,5:00 min/km,
,,,,,35,Intermediário,3 km,5:15 min/km,
,,,,,36,Intermediário,5 km,5:30 min/km,
,,,,,37,Intermediário,7 km,6:00 min/km,
,,,,,38,Intermediário,10 km,6:30 min/km,
,,,,,39,Avançado,1 km,4:00 min/km,
,,,,,40,Avançado,3 km,4:15 min/km,
,,,,,41,Avançado,5 km,4:30 min/km,
,,,,,42,Avançado,7 km,4:40 min/km,
,,,,,43,Avançado,10 km,4:45 min/km,
,,,,,44,Avançado,15 km,4:55 min/km,
,,,,,45,Avançado,21 km,5:00 min/km,
